Nombre de Comunidad,Código de Provincia,Nombre de Provincia,Población,Número de mesas,Total censo electoral,Total votantes,Votos válidos,Votos a candidaturas,Votos en blanco,Votos nulos,PARTIDO SOCIALISTA OBRERO ESPAÑOL_PSOE_votos,PARTIDO SOCIALISTA OBRERO ESPAÑOL_PSOE_diputados,ALIANZA POPULAR - PARTIDO DEMOCRATA POPULAR_AP-PDP_votos,ALIANZA POPULAR - PARTIDO DEMOCRATA POPULAR_AP-PDP_diputados,UNION DE CENTRO DEMOCRATICO_UCD_votos,UNION DE CENTRO DEMOCRATICO_UCD_diputados,PARTIDO COMUNISTA DE ESPAÑA_PCE_votos,PARTIDO COMUNISTA DE ESPAÑA_PCE_diputados,CONVERGENCIA I UNIO_CIU_votos,CONVERGENCIA I UNIO_CIU_diputados,CENTRO DEMOCRATICO Y SOCIAL_CDS_votos,CENTRO DEMOCRATICO Y SOCIAL_CDS_diputados,PARTIDO NACIONALISTA VASCO-EUZKO ALDERDI JELTZALEA_EAJ-PNV_votos,PARTIDO NACIONALISTA VASCO-EUZKO ALDERDI JELTZALEA_EAJ-PNV_diputados,AGRUPACION ELECTORES HERRI BATASUNA_HB_votos,AGRUPACION ELECTORES HERRI BATASUNA_HB_diputados,ESQUERRA REPUBLICANA DE CATALUNYA_ERC_votos,ESQUERRA REPUBLICANA DE CATALUNYA_ERC_diputados,ASOCIACION POLITICA FUERZA NUEVA_FN_votos,ASOCIACION POLITICA FUERZA NUEVA_FN_diputados,PARTIDO SOCIALISTA DE LOS TRABAJADORES_PST_votos,PARTIDO SOCIALISTA DE LOS TRABAJADORES_PST_diputados,EUSKADIKO EZKERRA - IZQUIERDA PARA EL SOCIALISMO_EE_votos,EUSKADIKO EZKERRA - IZQUIERDA PARA EL SOCIALISMO_EE_diputados,PARTIDO SOCIALISTA DE ANDALUCIA - PARTIDO ANDALUZ_PSA-PA_votos,PARTIDO SOCIALISTA DE ANDALUCIA - PARTIDO ANDALUZ_PSA-PA_diputados,PARTIT DELS COMUNISTES DE CATALUNYA_PCC_votos,PARTIT DELS COMUNISTES DE CATALUNYA_PCC_diputados,BLOQUE PSG_B-PSG_votos,BLOQUE PSG_B-PSG_diputados,UNION DEL PUEBLO CANARIO_UPC_votos,UNION DEL PUEBLO CANARIO_UPC_diputados,NACIONALISTES D'ESQUERRA_NE_votos,NACIONALISTES D'ESQUERRA_NE_diputados,SOLIDARIDAD ESPAÑOLA_SE_votos,SOLIDARIDAD ESPAÑOLA_SE_diputados,EXTREMADURA UNIDA_EU_votos,EXTREMADURA UNIDA_EU_diputados,PARTIDO COMUNISTA OBRERO ESPAÑOL_PCOE_votos,PARTIDO COMUNISTA OBRERO ESPAÑOL_PCOE_diputados,CONVERGENCIA CANARIA_CC_votos,CONVERGENCIA CANARIA_CC_diputados,UNIFICACION COMUNISTA DE ESPAÑA_UCE_votos,UNIFICACION COMUNISTA DE ESPAÑA_UCE_diputados,PARTIDO COMUNISTA DE ESPAÑA (MARXISTA-LENINISTA)_PCE (M-L)_votos,PARTIDO COMUNISTA DE ESPAÑA (MARXISTA-LENINISTA)_PCE (M-L)_diputados,ESQUERDA GALEGA_EG_votos,ESQUERDA GALEGA_EG_diputados,ASAMBLEA CANARIA - COORDINADORA CANARIA_AC-CC_votos,ASAMBLEA CANARIA - COORDINADORA CANARIA_AC-CC_diputados,UNITAT DEL POBLE VALENCIA_UPV_votos,UNITAT DEL POBLE VALENCIA_UPV_diputados,CANDIDATURA DE UNIDAD COMUNISTA_CUC_votos,CANDIDATURA DE UNIDAD COMUNISTA_CUC_diputados,ESQUERRA UNIDA DEL PAIS VALENCIA_EUPV_votos,ESQUERRA UNIDA DEL PAIS VALENCIA_EUPV_diputados,MOVIMIENTO FALANGISTA DE ESPAÑA_MFE_votos,MOVIMIENTO FALANGISTA DE ESPAÑA_MFE_diputados,AGRUPACION ELECTORAL BLOQUE AGRARIO_AEBA_votos,AGRUPACION ELECTORAL BLOQUE AGRARIO_AEBA_diputados,COALICION ELECTORAL PSM-NACIONALISTES DE LES ILLES_PSM_votos,COALICION ELECTORAL PSM-NACIONALISTES DE LES ILLES_PSM_diputados,PARTIDO SOCIALISTA DE ARAGON_PSA_votos,PARTIDO SOCIALISTA DE ARAGON_PSA_diputados,ESQUERRA NACIONALISTA VALENCIANA_ENV-URV_votos,ESQUERRA NACIONALISTA VALENCIANA_ENV-URV_diputados,PARTIDO SOCIALISTA_PS_votos,PARTIDO SOCIALISTA_PS_diputados,AGRUPACION ELECTORAL GALLEGA INDEPENDIENTE_AEGI_votos,AGRUPACION ELECTORAL GALLEGA INDEPENDIENTE_AEGI_diputados,LIGA COMUNISTA (C.OBREROS SOCIAL.INTERNACIONALIS.)_LC (COSI)_votos,LIGA COMUNISTA (C.OBREROS SOCIAL.INTERNACIONALIS.)_LC (COSI)_diputados,COALICION ELECTORAL FRONT COMUNISTA DE CATALUNYA_CE-FCC_votos,COALICION ELECTORAL FRONT COMUNISTA DE CATALUNYA_CE-FCC_diputados,FRENTE DE IZQUIERDA COMUNISTA_FIC_votos,FRENTE DE IZQUIERDA COMUNISTA_FIC_diputados,PARTIDO NACIONALISTA CANARIO_PNC_votos,PARTIDO NACIONALISTA CANARIO_PNC_diputados,PARTIDO REGIONALISTA DEL PAIS LEONES_PREPAL_votos,PARTIDO REGIONALISTA DEL PAIS LEONES_PREPAL_diputados,CONSERVADORS DE CATALUNYA_CC_votos,CONSERVADORS DE CATALUNYA_CC_diputados,FALANGE ESPAÑOLA DE LAS JONS_FE-JONS_votos,FALANGE ESPAÑOLA DE LAS JONS_FE-JONS_diputados,PARTIDO ASTURIANO DEMOCRATA LIBERAL_PADL_votos,PARTIDO ASTURIANO DEMOCRATA LIBERAL_PADL_diputados,INDEPENDIENTES Y EMIGRANTES DE GALICIA_IDG_votos,INDEPENDIENTES Y EMIGRANTES DE GALICIA_IDG_diputados,PARTIDO RURALISTA ESPAÑOL_PRE_votos,PARTIDO RURALISTA ESPAÑOL_PRE_diputados,FALANGE ESPAÑOLA INDEPENDIENTE_FE-I_votos,FALANGE ESPAÑOLA INDEPENDIENTE_FE-I_diputados,PARTIDO NACIONALISTA CEUTI_PNC_votos,PARTIDO NACIONALISTA CEUTI_PNC_diputados,AGRUPACION CIUDADANA INDEPENDIENTE_ACI_votos,AGRUPACION CIUDADANA INDEPENDIENTE_ACI_diputados,MOVIMIENTO CATOLICO ESPAÑOL_M.CAT.E_votos,MOVIMIENTO CATOLICO ESPAÑOL_M.CAT.E_diputados,COALICION ELECTORAL IZQUIERDA COMUNISTA_LCR-MC_votos,COALICION ELECTORAL IZQUIERDA COMUNISTA_LCR-MC_diputados,PARTIDO DE EL BIERZO_PDB_votos,PARTIDO DE EL BIERZO_PDB_diputados,ASOCIACION SOCIALDEMOCRATA CANARIA_ASDC_votos,ASOCIACION SOCIALDEMOCRATA CANARIA_ASDC_diputados,IZQUIERDA REPUBLICANA_IR_votos,IZQUIERDA REPUBLICANA_IR_diputados,FALANGE ASTURIANA_FA_votos,FALANGE ASTURIANA_FA_diputados,PARTIDO CARLISTA_PC_votos,PARTIDO CARLISTA_PC_diputados,PARTIDO AGRARIO ESPAÑOL_PAE_votos,PARTIDO AGRARIO ESPAÑOL_PAE_diputados,PARTIDO PROVERISTA_PP_votos,PARTIDO PROVERISTA_PP_diputados,COORDINADORA DE LA IZQUIERDA RIOJANA_CIR_votos,COORDINADORA DE LA IZQUIERDA RIOJANA_CIR_diputados,PUEBLO CANARIO UNIDO_PCU_votos,PUEBLO CANARIO UNIDO_PCU_diputados,AGRUPACION DE ELECTORES ESQUERRA MALLORQUINA_EM_votos,AGRUPACION DE ELECTORES ESQUERRA MALLORQUINA_EM_diputados,BLOQUE DE IZQUIERDA ASTURIANA_BIA_votos,BLOQUE DE IZQUIERDA ASTURIANA_BIA_diputados
Andalucía                     ,4,Almería                                           ,410395,420,276276,212232,207562,206169,1393,4670,119903,4,48280,1,23294,0,5504,0,0,0,3666,0,0,0,0,0,0,0,1251,0,0,0,0,0,2558,0,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,323,0,328,0,0,0,0,0,0,0,476,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,11,Cádiz                                             ,982138,903,650906,492509,484629,483208,1421,7880,308571,6,97314,2,22728,0,20749,0,0,0,8473,0,0,0,0,0,0,0,1209,0,3474,0,0,0,16654,0,0,0,0,0,0,0,0,0,902,0,0,0,1753,0,0,0,531,0,498,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,14,Córdoba                                           ,710193,674,513521,434272,425397,420133,5264,8875,243428,5,90023,2,28414,0,37555,0,0,0,5358,0,0,0,0,0,0,0,1556,0,1886,0,0,0,9270,0,0,0,0,0,0,0,0,0,489,0,0,0,956,0,0,0,285,0,175,0,0,0,0,0,0,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,18,Granada                                           ,757536,665,532882,409109,405204,404125,1079,3905,234154,5,97554,2,27897,0,28636,0,0,0,7276,0,0,0,0,0,0,0,2029,0,0,0,0,0,4939,0,0,0,0,0,0,0,0,0,454,0,0,0,0,0,0,0,249,0,252,0,0,0,0,0,0,0,369,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,21,Huelva                                            ,413100,402,288285,223070,220051,219488,563,3019,139420,4,45755,1,17174,0,7976,0,0,0,3003,0,0,0,0,0,0,0,696,0,812,0,0,0,3752,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,238,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,23,Jaén                                              ,638807,780,448573,367372,363721,363117,604,3651,207754,5,83833,2,32456,0,26829,0,0,0,3363,0,0,0,0,0,0,0,1789,0,986,0,0,0,4750,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,425,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,29,Málaga                                            ,1003234,698,688091,513801,508260,506859,1401,5541,315092,6,118369,2,19435,0,26935,0,0,0,7637,0,0,0,0,0,0,0,1298,0,2420,0,0,0,11770,0,0,0,0,0,0,0,0,0,929,0,0,0,1333,0,0,0,331,0,323,0,0,0,0,0,0,0,509,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,41,Sevilla                                           ,1476713,1564,1002070,813317,800995,798724,2271,12322,496543,8,176054,3,30004,0,57272,1,0,0,5775,0,0,0,0,0,0,0,2227,0,2568,0,0,0,23375,0,0,0,0,0,0,0,0,0,718,0,0,0,2017,0,0,0,335,0,520,0,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón                        ,22,Huesca                                            ,213232,370,166852,135567,130487,129660,827,5080,63103,2,33945,1,19234,0,3314,0,0,0,6375,0,0,0,0,0,0,0,407,0,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón                        ,44,Teruel                                            ,152597,309,120600,96545,94778,94151,627,1767,38834,2,31779,1,15570,0,1124,0,0,0,4472,0,0,0,0,0,0,0,975,0,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,125,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón                        ,50,Zaragoza                                          ,826766,1066,617130,513450,498002,494726,3276,15448,255402,5,156800,3,34044,0,16492,0,0,0,19918,0,0,0,0,0,0,0,2654,0,2952,0,0,0,0,0,0,0,0,0,0,0,0,0,667,0,0,0,0,0,0,0,497,0,469,0,0,0,0,0,0,0,665,0,0,0,0,0,0,0,0,0,4119,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Principado de Asturias        ,33,Asturias                                          ,1129556,1286,853981,662710,651378,648579,2799,11332,339575,6,181965,3,31763,0,53017,1,0,0,28048,0,0,0,0,0,0,0,2056,0,3570,0,0,0,0,0,0,0,0,0,0,0,0,0,897,0,0,0,1713,0,0,0,712,0,567,0,0,0,0,0,0,0,1223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,2493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illes Balears                 ,7,Illes Balears                                     ,655909,688,466909,372330,356539,354391,2148,15791,144232,3,134444,3,37148,0,5962,0,0,0,18722,0,0,0,0,0,0,0,879,0,1716,0,0,0,0,0,0,0,0,0,0,0,0,0,509,0,0,0,1178,0,0,0,518,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
