Nombre de Comunidad,Código de Provincia,Nombre de Provincia,Población,Número de mesas,Censo electoral sin CERA,Censo CERA,Total censo electoral,Total Votantes CER,Total votantes CERA,Total votantes,Votos válidos,Votos a candidaturas,Votos en blanco,Votos nulos,PARTIDO SOCIALISTA OBRERO ESPAÑOL_PSOE_votos,PARTIDO SOCIALISTA OBRERO ESPAÑOL_PSOE_diputados,COALICION POPULAR_AP-PDP-PL_votos,COALICION POPULAR_AP-PDP-PL_diputados,CENTRO DEMOCRATICO Y SOCIAL_CDS_votos,CENTRO DEMOCRATICO Y SOCIAL_CDS_diputados,CONVERGENCIA I UNIO_CIU_votos,CONVERGENCIA I UNIO_CIU_diputados,COALICION IZQUIERDA UNIDA_IU_votos,COALICION IZQUIERDA UNIDA_IU_diputados,PARTIDO NACIONALISTA VASCO_EAJ-PNV_votos,PARTIDO NACIONALISTA VASCO_EAJ-PNV_diputados,HERRI BATASUNA_HB_votos,HERRI BATASUNA_HB_diputados,MESA PARA LA UNIDAD DE LOS COMUNISTAS_MUC_votos,MESA PARA LA UNIDAD DE LOS COMUNISTAS_MUC_diputados,PARTIDO REFORMISTA DEMOCRATICO_PRD_votos,PARTIDO REFORMISTA DEMOCRATICO_PRD_diputados,EUSKADIKO EZKERRA_EE_votos,EUSKADIKO EZKERRA_EE_diputados,PARTIDO ANDALUCISTA_PA_votos,PARTIDO ANDALUCISTA_PA_diputados,ESQUERRA REPUBLICANA DE CATALUNYA_ERC_votos,ESQUERRA REPUBLICANA DE CATALUNYA_ERC_diputados,COALICION GALEGA_CG_votos,COALICION GALEGA_CG_diputados,PARTIDO SOCIALISTA DE LOS TRABAJADORES_PST_votos,PARTIDO SOCIALISTA DE LOS TRABAJADORES_PST_diputados,PARTIDO ARAGONES REGIONALISTA_PAR_votos,PARTIDO ARAGONES REGIONALISTA_PAR_diputados,COALICION AGRUPACIONES INDEPENDIENTES DE CANARIAS_AIC_votos,COALICION AGRUPACIONES INDEPENDIENTES DE CANARIAS_AIC_diputados,UNIO VALENCIANA_UV_votos,UNIO VALENCIANA_UV_diputados,PARTIT DELS COMUNISTES DE CATALUNYA_PCC_votos,PARTIT DELS COMUNISTES DE CATALUNYA_PCC_diputados,PARTIDO SOCIALISTA GALEGO-ESQUERDA GALEGA_PSG-EG_votos,PARTIDO SOCIALISTA GALEGO-ESQUERDA GALEGA_PSG-EG_diputados,FALANGE ESPAÑOLA DE LAS JONS_FE-JONS_votos,FALANGE ESPAÑOLA DE LAS JONS_FE-JONS_diputados,UNIFICACION COMUNISTA DE ESPAÑA_UCE_votos,UNIFICACION COMUNISTA DE ESPAÑA_UCE_diputados,UNITAT DEL POBLE VALENCIA_UPV_votos,UNITAT DEL POBLE VALENCIA_UPV_diputados,ASAMBLEA CANARIA-IZQUIERDA NACIONALISTA CANARIA_AC-INC_votos,ASAMBLEA CANARIA-IZQUIERDA NACIONALISTA CANARIA_AC-INC_diputados,LOS VERDES_LV_votos,LOS VERDES_LV_diputados,LISTA ALTERNATIVA VERDE_AV_votos,LISTA ALTERNATIVA VERDE_AV_diputados,VERTICE ESPAÑOL REIVINDICACION DESARROLL ECOLOGICO_VERDE_votos,VERTICE ESPAÑOL REIVINDICACION DESARROLL ECOLOGICO_VERDE_diputados,UNIDAD  POPULAR REPUBLICANA_UPR_votos,UNIDAD  POPULAR REPUBLICANA_UPR_diputados,BLOQUE NACIONALISTA GALEGO_BNG_votos,BLOQUE NACIONALISTA GALEGO_BNG_diputados,PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA_POSI_votos,PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA_POSI_diputados,EXTREMADURA UNIDA_EU_votos,EXTREMADURA UNIDA_EU_diputados,PARTIDO SOCIALISTA DEL PUEBLO ANDALUZ_PSPA_votos,PARTIDO SOCIALISTA DEL PUEBLO ANDALUZ_PSPA_diputados,PSM ESQUERRA NACIONALISTA_PSM-EN_votos,PSM ESQUERRA NACIONALISTA_PSM-EN_diputados,COALICION DE UNIDAD NACIONAL_CUN_votos,COALICION DE UNIDAD NACIONAL_CUN_diputados,PARTIDO DE LOS OBREROS REVOLUCIONARIOS DE ESPAÑA_PORE_votos,PARTIDO DE LOS OBREROS REVOLUCIONARIOS DE ESPAÑA_PORE_diputados,PARTIT SOCIALDEMOCRATA DE CATALUNYA_PSDC_votos,PARTIT SOCIALDEMOCRATA DE CATALUNYA_PSDC_diputados,AGRUPACION DE ELECTORES INDEPENDIENTES_ADEI_votos,AGRUPACION DE ELECTORES INDEPENDIENTES_ADEI_diputados,COALICION CONVERGENCIA LEONESISTA_CL_votos,COALICION CONVERGENCIA LEONESISTA_CL_diputados,PARTIDO REGIONALISTA DEL PAIS LEONES_PREPAL_votos,PARTIDO REGIONALISTA DEL PAIS LEONES_PREPAL_diputados,ESQUERRA NACIONALISTA VALENCIANA_ENV-URV_votos,ESQUERRA NACIONALISTA VALENCIANA_ENV-URV_diputados,LIGA OBRERA COMUNISTA_LOC_votos,LIGA OBRERA COMUNISTA_LOC_diputados,PARTIDO MODERADO-CENTRISTAS DE NAVARRA_PMCN_votos,PARTIDO MODERADO-CENTRISTAS DE NAVARRA_PMCN_diputados,CULTURA NATURAL_CN_votos,CULTURA NATURAL_CN_diputados,PARTIDO REGIONALISTA MURCIANO_PRM_votos,PARTIDO REGIONALISTA MURCIANO_PRM_diputados,PARTIDO ESPAÑOL DEMOCRATA_PED_votos,PARTIDO ESPAÑOL DEMOCRATA_PED_diputados,PARTIDO NACIONALISTA DE CASTILLA Y LEON_PANCAL_votos,PARTIDO NACIONALISTA DE CASTILLA Y LEON_PANCAL_diputados,COALICION CANDIDATURA POR LA AUTONOMIA_CA_votos,COALICION CANDIDATURA POR LA AUTONOMIA_CA_diputados,PARTIDO PROVERISTA_PROV_votos,PARTIDO PROVERISTA_PROV_diputados,AGRUPACION ELECTORAL 'AGRUP INDEPENDIENTE DE CEUTA'_AE-AIC_votos,AGRUPACION ELECTORAL'AGRUP INDEPENDIENTE DE CEUTA'_AE-AIC_diputados,PARTIDO ESPAÑOL CRISTIANO_PAEC_votos,PARTIDO ESPAÑOL CRISTIANO_PAEC_diputados,MOVIMIENTO COMUNISTA DE EUSKADI_EMK_votos,MOVIMIENTO COMUNISTA DE EUSKADI_EMK_diputados,LIGA KOMUNISTA IRAULTZAILEA_LKI_votos,LIGA KOMUNISTA IRAULTZAILEA_LKI_diputados
Andalucía                     ,4,Almería                                           ,442324,419,309513,4131,313644,211787,850,212637,210067,209333,734,2570,111617,4,54433,1,18960,0,0,0,11010,0,0,0,0,0,1741,0,5565,0,0,0,3109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,0,446,0,0,0,0,0,0,0,0,0,0,0,707,0,0,0,282,0,0,0,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,11,Cádiz                                             ,1044493,939,717942,4804,722746,478650,814,479464,471174,468758,2416,8290,286104,7,93284,2,26080,0,0,0,27527,0,0,0,0,0,3743,0,3234,0,0,0,19682,0,0,0,0,0,2117,0,0,0,0,0,0,0,489,0,0,0,1419,0,961,0,0,0,0,0,0,0,0,0,0,0,938,0,0,0,994,0,0,0,2186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,14,Córdoba                                           ,747505,691,549413,4279,553692,421803,971,422774,417887,415504,2383,4887,223759,4,90637,2,27211,0,0,0,51007,1,0,0,0,0,3246,0,4075,0,0,0,12211,0,0,0,0,0,903,0,0,0,0,0,0,0,0,0,0,0,170,0,534,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,327,0,0,0,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,18,Granada                                           ,783265,680,577108,5859,582967,403112,1421,404533,400245,398641,1604,4288,212031,5,105156,2,27398,0,0,0,28198,0,0,0,0,0,9890,0,3103,0,0,0,5165,0,0,0,0,0,865,0,0,0,0,0,0,0,267,0,0,0,848,0,619,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,4303,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,21,Huelva                                            ,433995,460,312597,1649,314246,212685,281,212966,209541,208610,931,3425,130386,4,44778,1,12034,0,0,0,11068,0,0,0,0,0,1889,0,1698,0,0,0,4910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,23,Jaén                                              ,646849,689,485208,2156,487364,369472,453,369925,365784,364613,1171,4141,201494,4,98395,2,19507,0,0,0,33569,0,0,0,0,0,2042,0,2569,0,0,0,4483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,0,390,0,0,0,0,0,0,0,0,0,0,0,316,0,0,0,338,0,0,0,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,29,Málaga                                            ,1150434,755,746993,5838,752831,502830,1548,504378,496320,493789,2531,8058,284757,6,108640,2,29925,0,0,0,44595,1,0,0,0,0,4097,0,4438,0,0,0,11933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,964,0,957,0,0,0,0,0,0,0,0,0,0,0,894,0,0,0,0,0,0,0,2589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,41,Sevilla                                           ,1540907,1719,1096525,4857,1101382,809461,1129,810590,800183,797106,3077,10407,473743,8,169409,3,29033,0,0,0,66034,1,0,0,0,0,11020,0,4428,0,0,0,32515,0,0,0,0,0,2565,0,0,0,0,0,0,0,0,0,0,0,988,0,841,0,0,0,0,0,0,0,2224,0,1208,0,512,0,0,0,378,0,0,0,1760,0,0,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón                        ,22,Huesca                                            ,209854,362,174590,1641,176231,123118,484,123602,120776,119785,991,2826,53764,2,30289,1,15446,0,0,0,3978,0,0,0,0,0,1043,0,1914,0,0,0,0,0,0,0,0,0,486,0,11786,0,0,0,0,0,105,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón                        ,44,Teruel                                            ,149360,310,124747,954,125701,88250,242,88492,87114,86360,754,1378,35785,2,28583,1,9233,0,0,0,1363,0,0,0,0,0,860,0,956,0,0,0,0,0,0,0,0,0,434,0,8405,0,0,0,0,0,0,0,0,0,312,0,205,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón                        ,50,Zaragoza                                          ,824778,1133,653342,3500,656842,463736,924,464660,454801,451185,3616,9859,198260,4,114389,2,49425,1,0,0,17147,0,0,0,0,0,6726,0,4500,0,0,0,0,0,0,0,0,0,2052,0,52813,1,0,0,0,0,0,0,0,0,1023,0,1021,0,0,0,0,0,0,0,0,0,2570,0,623,0,0,0,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Principado de Asturias        ,33,Asturias                                          ,1112186,1410,892261,18186,910447,613809,3635,617444,606514,603037,3477,10930,278946,5,165071,2,79788,1,0,0,55881,1,0,0,0,0,9607,0,5105,0,0,0,0,0,0,0,0,0,3688,0,0,0,0,0,0,0,0,0,0,0,1497,0,1821,0,0,0,0,0,0,0,0,0,0,0,744,0,0,0,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
