Nombre de Comunidad,Código de Provincia,Nombre de Provincia,Población,Número de mesas,Censo electoral sin CERA,Censo CERA,Total censo electoral,Total Votantes CER,Total votantes CERA,Total votantes,Votos válidos,Votos a candidaturas,Votos en blanco,Votos nulos,PARTIDO POPULAR_PP_votos,PARTIDO POPULAR_PP_diputados,PARTIDO SOCIALISTA OBRERO ESPAÑOL_PSOE_votos,PARTIDO SOCIALISTA OBRERO ESPAÑOL_PSOE_diputados,IZQUIERDA UNIDA_IU_votos,IZQUIERDA UNIDA_IU_diputados,CONVERGENCIA I UNIO_CIU_votos,CONVERGENCIA I UNIO_CIU_diputados,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO_EAJ-PNV_votos,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO_EAJ-PNV_diputados,COALICION CANARIA_CC_votos,COALICION CANARIA_CC_diputados,BLOQUE NACIONALISTA GALEGO_BNG_votos,BLOQUE NACIONALISTA GALEGO_BNG_diputados,HERRI BATASUNA_HB_votos,HERRI BATASUNA_HB_diputados,ESQUERRA REPUBLICANA DE CATALUNYA_ERC_votos,ESQUERRA REPUBLICANA DE CATALUNYA_ERC_diputados,PARTIDO ANDALUCISTA_PA_votos,PARTIDO ANDALUCISTA_PA_diputados,EUSKO ALKARTASUNA_EA_votos,EUSKO ALKARTASUNA_EA_diputados,UNIO VALENCIANA_UV_votos,UNIO VALENCIANA_UV_diputados,LOS VERDES EUROPEOS_LVE_votos,LOS VERDES EUROPEOS_LVE_diputados,CHUNTA ARAGONESISTA_CHA_votos,CHUNTA ARAGONESISTA_CHA_diputados,UNION CENTRISTA_UC_votos,UNION CENTRISTA_UC_diputados,UNITAT DEL POBLE VALENCIA-BLOC NACIONALISTA_UPV-BN_votos,UNITAT DEL POBLE VALENCIA-BLOC NACIONALISTA_UPV-BN_diputados,COALICION ELECTORAL PSM-ENE_PSM-ENE_votos,COALICION ELECTORAL PSM-ENE_PSM-ENE_diputados,LOS VERDES-GRUPO VERDE_LV-GV_votos,LOS VERDES-GRUPO VERDE_LV-GV_diputados,CONVERGENCIA DEMOCRATAS DE NAVARRA_CDN_votos,CONVERGENCIA DEMOCRATAS DE NAVARRA_CDN_diputados,PARTIDO REVOLUCIONARIO DE LOS TRABAJADORES_PRT_votos,PARTIDO REVOLUCIONARIO DE LOS TRABAJADORES_PRT_diputados,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA_PCPE_votos,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA_PCPE_diputados,PARTIDO HUMANISTA_PH_votos,PARTIDO HUMANISTA_PH_diputados,PARTIU ASTURIANISTA_PAS_votos,PARTIU ASTURIANISTA_PAS_diputados,FALANGE ESPAÑOLA AUTENTICA_FEA_votos,FALANGE ESPAÑOLA AUTENTICA_FEA_diputados,UNION DEL PUEBLO LEONES_UPL_votos,UNION DEL PUEBLO LEONES_UPL_diputados,INIC.CIUDADANA VASCA/EUSKAL HURITARREN EGITEKOAK_ICV-GORORDO_votos,INIC.CIUDADANA VASCA/EUSKAL HURITARREN EGITEKOAK_ICV-GORORDO_diputados,LOS VERDES DE MADRID_LV_votos,LOS VERDES DE MADRID_LV_diputados,COALICION EXTREMEÑA_CEX_votos,COALICION EXTREMEÑA_CEX_diputados,UNIO MALLORQUINA_UM_votos,UNIO MALLORQUINA_UM_diputados,TIERRA COMUNERA-PARTIDO NACIONALISTA CASTELLANO_TC-PNC_votos,TIERRA COMUNERA-PARTIDO NACIONALISTA CASTELLANO_TC-PNC_diputados,PARTIDO RIOJANO_P.RIOJANO_votos,PARTIDO RIOJANO_P.RIOJANO_diputados,PARTIT ECOLOGISTA DE CATALUNYA_PEC_votos,PARTIT ECOLOGISTA DE CATALUNYA_PEC_diputados,UNIDAD REGIONALISTA DE CASTILLA Y LEON_URCL_votos,UNIDAD REGIONALISTA DE CASTILLA Y LEON_URCL_diputados,NACION ANDALUZA_NA_votos,NACION ANDALUZA_NA_diputados,ALIANZA POR LA UNIDAD NACIONAL_AUN_votos,ALIANZA POR LA UNIDAD NACIONAL_AUN_diputados,"SALAMANCA, ZAMORA, LEON_PREPAL_votos","SALAMANCA, ZAMORA, LEON_PREPAL_diputados",SOS NATURALEZA_SOS_votos,SOS NATURALEZA_SOS_diputados,COALICION REPUBLICANA_CR_votos,COALICION REPUBLICANA_CR_diputados,FRENTE POPULAR POR LA INDEPENDENCIA DE CANARIAS_FREPIC_votos,FRENTE POPULAR POR LA INDEPENDENCIA DE CANARIAS_FREPIC_diputados,PARTIDO SOCIALISTA DEL PUEBLO DE CEUTA_PSPC_votos,PARTIDO SOCIALISTA DEL PUEBLO DE CEUTA_PSPC_diputados,PARTIDO REGIONALISTA DE CASTILLA-LA MANCHA_PRCM_votos,PARTIDO REGIONALISTA DE CASTILLA-LA MANCHA_PRCM_diputados,FRENTE POPULAR GALEGA_FPG_votos,FRENTE POPULAR GALEGA_FPG_diputados,SOCIALISTAS INDEPENDIENTES DE EXTREMADURA_SIEX_votos,SOCIALISTAS INDEPENDIENTES DE EXTREMADURA_SIEX_diputados,PARTIDO REGIONAL INDEPENDIENTE MADRILEÑO_PRIM_votos,PARTIDO REGIONAL INDEPENDIENTE MADRILEÑO_PRIM_diputados,PARTIDO ROJI-VERDE_PRV_votos,PARTIDO ROJI-VERDE_PRV_diputados,FALANGE ESPAÑOLA INDEPENDIENTE_FEI_votos,FALANGE ESPAÑOLA INDEPENDIENTE_FEI_diputados,NUEVA REGION_NR_votos,NUEVA REGION_NR_diputados,ACCION REPUBLICANA_AR_votos,ACCION REPUBLICANA_AR_diputados,PLATAFORMA INDEPENDENT CIUTADANA DE CATALUNYA_PICC_votos,PLATAFORMA INDEPENDENT CIUTADANA DE CATALUNYA_PICC_diputados,ESQUERRA NACIONALISTA VALENCIANA_V_votos,ESQUERRA NACIONALISTA VALENCIANA_V_diputados,PARTIDO DE EL BIERZO_PB_votos,PARTIDO DE EL BIERZO_PB_diputados,PARTIDO CANARIO NACIONALISTA_PCN_votos,PARTIDO CANARIO NACIONALISTA_PCN_diputados,UNION PROVINCIAL ALICANTINA_UPRA_votos,UNION PROVINCIAL ALICANTINA_UPRA_diputados,UNIDAD ANDALUZA DEMOCRATICA_UAD_votos,UNIDAD ANDALUZA DEMOCRATICA_UAD_diputados,ACCION DEMOCRATICA CIUDADANA_ADEC_votos,ACCION DEMOCRATICA CIUDADANA_ADEC_diputados,VOZ DEL PUEBLO ANDALUZ_VDPA_votos,VOZ DEL PUEBLO ANDALUZ_VDPA_diputados,ESTADO NACIONAL EUROPEO_N_votos,ESTADO NACIONAL EUROPEO_N_diputados,AGRUPACION LIBERAL AUTONOMISTA Y SOCIAL_ALAS_votos,AGRUPACION LIBERAL AUTONOMISTA Y SOCIAL_ALAS_diputados,ALIANCA BALEAR_ABA_votos,ALIANCA BALEAR_ABA_diputados,PARTIDO REGIONALISTA DE GUADALAJARA_PRGU_votos,PARTIDO REGIONALISTA DE GUADALAJARA_PRGU_diputados,LIGA AUTONOMA ESPAÑOLA_LAE_votos,LIGA AUTONOMA ESPAÑOLA_LAE_diputados,DINAMICA SOCIAL ARAGONESA_DSA_votos,DINAMICA SOCIAL ARAGONESA_DSA_diputados,PARTIDO LA GENTE_LG_votos,PARTIDO LA GENTE_LG_diputados,PARTIDO INTERZAMORANO_PIZ_votos,PARTIDO INTERZAMORANO_PIZ_diputados,PARTIDO NACIONALISTA DE MELILLA_PNM_votos,PARTIDO NACIONALISTA DE MELILLA_PNM_diputados,AGRUPACIONES FAMILIARES INDEPENDIENTES TINERFEÑAS_AFIT_votos,AGRUPACIONES FAMILIARES INDEPENDIENTES TINERFEÑAS_AFIT_diputados,CENTRISTAS DE LA COMUNIDAD VALENCIANA_CCV_votos,CENTRISTAS DE LA COMUNIDAD VALENCIANA_CCV_diputados,PARTIDO DE LOS TRABAJADORES AUTONOMOS DE ESPAÑA_PAE_votos,PARTIDO DE LOS TRABAJADORES AUTONOMOS DE ESPAÑA_PAE_diputados,PARTIDO OBRERO REVOLUCIONARIO_POR_votos,PARTIDO OBRERO REVOLUCIONARIO_POR_diputados
Andalucía                     ,4,Almería                                           ,486005,538,366963,8412,375375,286454,3279,289733,288297,286407,1890,1436,115925,2,135789,3,28580,0,0,0,0,0,0,0,0,0,0,0,0,0,4754,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,152,0,296,0,182,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,11,Cádiz                                             ,1118137,1113,837314,9810,847124,617280,3482,620762,615757,610631,5126,5005,217795,4,270237,4,81116,1,0,0,0,0,0,0,0,0,0,0,0,0,37356,0,0,0,0,0,0,0,0,0,574,0,0,0,0,0,0,0,0,0,576,0,925,0,573,0,0,0,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,14,Córdoba                                           ,779333,849,596829,7050,603879,494128,2952,497080,494284,490869,3415,2796,163155,2,220659,4,91773,1,0,0,0,0,0,0,0,0,0,0,0,0,13194,0,0,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,295,0,711,0,245,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,18,Granada                                           ,833526,940,640589,11662,652251,508838,4386,513224,510793,507044,3749,2431,196049,3,237446,3,61214,1,0,0,0,0,0,0,0,0,0,0,0,0,9878,0,0,0,0,0,0,0,0,0,469,0,0,0,0,0,0,0,0,0,351,0,716,0,302,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,21,Huelva                                            ,454995,476,352563,2484,355047,266683,707,267390,265126,263368,1758,2264,89882,2,138259,3,27060,0,0,0,0,0,0,0,0,0,0,0,0,0,7129,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,143,0,246,0,172,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,23,Jaén                                              ,663586,689,503780,3886,507666,423450,1416,424866,422790,420151,2639,2076,155947,3,205818,3,49564,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,182,0,461,0,171,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,29,Málaga                                            ,1212531,1271,908521,12717,921238,684207,5331,689538,685476,678810,6666,4062,263920,4,288165,5,103930,1,0,0,0,0,0,0,0,0,0,0,0,0,18492,0,0,0,0,0,0,0,0,0,589,0,0,0,0,0,0,0,0,0,0,0,792,0,624,0,0,0,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,41,Sevilla                                           ,1701400,2051,1304307,9691,1313998,1043712,3460,1047172,1041824,1031012,10812,5348,327384,4,521484,7,139733,2,0,0,0,0,0,0,0,0,0,0,0,0,36797,0,0,0,0,0,0,0,0,0,478,0,0,0,0,0,0,0,0,0,1117,0,1162,0,515,0,0,0,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón                        ,22,Huesca                                            ,210099,392,173729,2781,176510,135508,1125,136633,135750,133770,1980,883,61900,2,55766,1,10230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4571,0,294,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón                        ,44,Teruel                                            ,143198,330,117289,1871,119160,91602,732,92334,91830,90672,1158,504,45207,2,37856,1,5506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1691,0,227,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón                        ,50,Zaragoza                                          ,850888,1266,702102,6630,708732,546530,2501,549031,546598,540377,6221,2433,263868,4,174567,3,55019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43477,0,0,0,0,0,0,0,0,0,0,0,449,0,0,0,299,0,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Principado de Asturias        ,33,Asturias                                          ,1117762,1530,932308,26104,958412,718472,9095,727567,724075,717270,6805,3492,297079,4,288558,4,112339,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3575,0,0,0,1709,0,0,0,0,0,0,0,0,0,497,0,813,0,0,0,12213,0,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
