Nombre de Comunidad,Código de Provincia,Nombre de Provincia,Población,Número de mesas,Censo electoral sin CERA,Censo CERA,Total censo electoral,Solicitudes voto CERA aceptadas,Total votantes CER,Total votantes CERA,Total votantes,Votos válidos,Votos a candidaturas,Votos en blanco,Votos nulos,PARTIDO POPULAR_PP_votos,PARTIDO POPULAR_PP_diputados,PARTIDO SOCIALISTA OBRERO ESPAÑOL_PSOE_votos,PARTIDO SOCIALISTA OBRERO ESPAÑOL_PSOE_diputados,IZQUIERDA UNIDA-LOS VERDES: LA IZQUIERDA PLURAL_IU-LV_votos,IZQUIERDA UNIDA-LOS VERDES: LA IZQUIERDA PLURAL_IU-LV_diputados,UNIÓN PROGRESO Y DEMOCRACIA_UPyD_votos,UNIÓN PROGRESO Y DEMOCRACIA_UPyD_diputados,CONVERGÈNCIA I UNIÓ_CiU_votos,CONVERGÈNCIA I UNIÓ_CiU_diputados,AMAIUR_AMAIUR_votos,AMAIUR_AMAIUR_diputados,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO_EAJ-PNV_votos,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO_EAJ-PNV_diputados,ESQUERRA REPUBLICANA_ESQUERRA_votos,ESQUERRA REPUBLICANA_ESQUERRA_diputados,EQUO_EQUO_votos,EQUO_EQUO_diputados,BLOQUE NACIONALISTA GALEGO_BNG_votos,BLOQUE NACIONALISTA GALEGO_BNG_diputados,COALICIÓN CANARIA-NUEVA CANARIAS_CC-NC-PNC_votos,COALICIÓN CANARIA-NUEVA CANARIAS_CC-NC-PNC_diputados,BLOC-INICIATIVA-VERDS-EQUO-COALICIÓ COMPROMÍS_COMPROMÍS-Q_votos,BLOC-INICIATIVA-VERDS-EQUO-COALICIÓ COMPROMÍS_COMPROMÍS-Q_diputados,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL_PACMA_votos,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL_PACMA_diputados,FORO DE CIUDADANOS_FAC_votos,FORO DE CIUDADANOS_FAC_diputados,ESCAÑOS EN BLANCO_Eb_votos,ESCAÑOS EN BLANCO_Eb_diputados,PARTIDO ANDALUCISTA_PA_votos,PARTIDO ANDALUCISTA_PA_diputados,PLATAFORMA PER CATALUNYA_PxC_votos,PLATAFORMA PER CATALUNYA_PxC_diputados,PARTIDO REGIONALISTA DE CANTABRIA_P.R.C._votos,PARTIDO REGIONALISTA DE CANTABRIA_P.R.C._diputados,GEROA BAI_GBAI_votos,GEROA BAI_GBAI_diputados,POR UN MUNDO MÁS JUSTO_PUM+J_votos,POR UN MUNDO MÁS JUSTO_PUM+J_diputados,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA_P.C.P.E._votos,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA_P.C.P.E._diputados,ANTICAPITALISTAS_ANTICAPITALISTAS_votos,ANTICAPITALISTAS_ANTICAPITALISTAS_diputados,PIRATES DE CATALUNYA_PIRATA.CAT_votos,PIRATES DE CATALUNYA_PIRATA.CAT_diputados,UNIFICACIÓN COMUNISTA DE ESPAÑA_UCE_votos,UNIFICACIÓN COMUNISTA DE ESPAÑA_UCE_diputados,PARTIDO HUMANISTA_PH_votos,PARTIDO HUMANISTA_PH_diputados,ESPAÑA 2000_ESPAÑA 2000_votos,ESPAÑA 2000_ESPAÑA 2000_diputados,SOLIDARIDAD Y AUTOGESTION INTERNACIONALISTA_SAIn_votos,SOLIDARIDAD Y AUTOGESTION INTERNACIONALISTA_SAIn_diputados,REPUBLICANOS_RPS_votos,REPUBLICANOS_RPS_diputados,HARTOS.ORG_HARTOS.ORG_votos,HARTOS.ORG_HARTOS.ORG_diputados,PARTIDO PIRATA_PIRATA_votos,PARTIDO PIRATA_PIRATA_diputados,ALTERNATIVA NACIONALISTA CANARIA_ANC_votos,ALTERNATIVA NACIONALISTA CANARIA_ANC_diputados,FALANGE ESPAÑOLA DE LAS J.O.N.S._FE de las JONS_votos,FALANGE ESPAÑOLA DE LAS J.O.N.S._FE de las JONS_diputados,CENTRO DEMOCRATICO LIBERAL_C.D.L._votos,CENTRO DEMOCRATICO LIBERAL_C.D.L._diputados,PARTIDO CASTELLANO_PCAS_votos,PARTIDO CASTELLANO_PCAS_diputados,UNITS X VALENCIA_UxV_votos,UNITS X VALENCIA_UxV_diputados,PARTIDO DE LA LIBERTAD INDIVIDUAL_P-LIB_votos,PARTIDO DE LA LIBERTAD INDIVIDUAL_P-LIB_diputados,PARTIDO REGIONALISTA DEL PAIS LEONES_PREPAL_votos,PARTIDO REGIONALISTA DEL PAIS LEONES_PREPAL_diputados,PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA_POSI_votos,PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA_POSI_diputados,DEMOCRACIA NACIONAL_D.N._votos,DEMOCRACIA NACIONAL_D.N._diputados,PARTIDO REGIONALISTA POR ANDALUCIA ORIENTAL_PRAO_votos,PARTIDO REGIONALISTA POR ANDALUCIA ORIENTAL_PRAO_diputados,COALICION CABALLAS_Caballas_votos,COALICION CABALLAS_Caballas_diputados,CONVERXENCIA VINTEÚN_C.XXI_votos,CONVERXENCIA VINTEÚN_C.XXI_diputados,UNIDAD DEL PUEBLO_UNIDAD DEL PUEBLO_votos,UNIDAD DEL PUEBLO_UNIDAD DEL PUEBLO_diputados,CONVERGENCIA POR EXTREMADURA_CEx_votos,CONVERGENCIA POR EXTREMADURA_CEx_diputados,ANDECHA ASTUR_ANDECHA_votos,ANDECHA ASTUR_ANDECHA_diputados,CIUDADANOS DE CENTRO DEMOCRÁTICO_CCD_votos,CIUDADANOS DE CENTRO DEMOCRÁTICO_CCD_diputados,ACCION CIUDADANA POR MALAGA_ACIMA_votos,ACCION CIUDADANA POR MALAGA_ACIMA_diputados,FAMILIA Y VIDA_PFyV_votos,FAMILIA Y VIDA_PFyV_diputados,MUERTE AL SISTEMA_+MAS+_votos,MUERTE AL SISTEMA_+MAS+_diputados,UNION DE CIUDADANOS INDEPENDIENTES DE TOLEDO_U.C.I.T._votos,UNION DE CIUDADANOS INDEPENDIENTES DE TOLEDO_U.C.I.T._diputados,DEMOS EL CAMBIO_DeC_votos,DEMOS EL CAMBIO_DeC_diputados,FORO CENTRO Y DEMOCRACIA_CYD_votos,FORO CENTRO Y DEMOCRACIA_CYD_diputados,UNIDAD REGIONALISTA DE CASTILLA Y LEON_U.R.C.L._votos,UNIDAD REGIONALISTA DE CASTILLA Y LEON_U.R.C.L._diputados,PARTIDO PARA LA REGENERACION DE LA DEMOCRACIA EN ESPAÑA_P.R.D.E._votos,PARTIDO PARA LA REGENERACION DE LA DEMOCRACIA EN ESPAÑA_P.R.D.E._diputados,PARTIDO DE INTERNET_INTERNET_votos,PARTIDO DE INTERNET_INTERNET_diputados,PARTIT REPUBLICÀ D'ESQUERRA-REPUBLICANS_PRE-R_votos,PARTIT REPUBLICÀ D'ESQUERRA-REPUBLICANS_PRE-R_diputados,"BASTA YA, AGRUPACIÓN ABIERTA DE PARTIDOS POLÍTICOS_BASTA YA_votos","BASTA YA, AGRUPACIÓN ABIERTA DE PARTIDOS POLÍTICOS_BASTA YA_diputados",PARTIDO DEMOCRATICO Y CONSTITUCIONAL_PDYC_votos,PARTIDO DEMOCRATICO Y CONSTITUCIONAL_PDYC_diputados,LOS VERDES-GRUPO VERDE_LV-GV_votos,LOS VERDES-GRUPO VERDE_LV-GV_diputados,HIGIENE DEMOCRATICA_H.D._votos,HIGIENE DEMOCRATICA_H.D._diputados,SOCIALISTAS POR TERUEL_SXT_votos,SOCIALISTAS POR TERUEL_SXT_diputados,DERECHA NAVARRA Y ESPAÑOLA_DNE_votos,DERECHA NAVARRA Y ESPAÑOLA_DNE_diputados
Andalucía                     ,4,Almería                                           ,695560,819,440454,29140,469594,2156,314164,1340,315504,312923,309433,3490,2581,180249,4,93495,2,16445,0,12225,0,0,0,0,0,0,0,0,0,2828,0,0,0,0,0,0,0,0,0,0,0,0,0,2659,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,11,Cádiz                                             ,1236739,1601,960499,20562,981061,1530,625167,624,625791,620252,611741,8511,5539,291897,5,203251,3,54262,0,29761,0,0,0,0,0,0,0,0,0,4345,0,0,0,0,0,0,0,2872,0,0,0,2329,0,19289,0,0,0,0,0,0,0,0,0,1072,0,874,0,0,0,265,0,0,0,0,0,0,0,0,0,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,14,Córdoba                                           ,805108,1034,637766,14320,652086,1244,473198,649,473847,468623,462133,6490,5224,209067,3,170367,3,46066,0,17998,0,0,0,0,0,0,0,0,0,3782,0,0,0,0,0,0,0,0,0,0,0,1786,0,10453,0,0,0,0,0,0,0,701,0,982,0,0,0,0,0,188,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,18,Granada                                           ,918072,1248,699328,35873,735201,2840,512130,1904,514034,508782,503488,5294,5252,237785,4,185867,3,40360,0,26255,0,0,0,0,0,0,0,0,0,3852,0,0,0,0,0,0,0,1370,0,0,0,1200,0,3942,0,0,0,0,0,0,0,544,0,873,0,484,0,0,0,151,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,21,Huelva                                            ,518081,640,387376,5379,392755,464,266545,243,266788,263507,260095,3412,3281,115651,3,106835,2,18532,0,9048,0,0,0,0,0,0,0,0,0,2001,0,0,0,0,0,0,0,821,0,0,0,917,0,4992,0,0,0,0,0,0,0,309,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,23,Jaén                                              ,670761,933,527595,9441,537036,809,407077,496,407573,403443,399319,4124,4130,183339,3,165348,3,28059,0,13727,0,0,0,0,0,0,0,0,0,2149,0,0,0,0,0,0,0,0,0,0,0,0,0,4920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,0,0,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,29,Málaga                                            ,1609557,1885,1081217,35059,1116276,2812,725242,1623,726865,720031,711681,8350,6834,357578,6,227463,3,64969,1,40407,0,0,0,0,0,0,0,0,0,5369,0,0,0,0,0,0,0,2903,0,0,0,1996,0,7442,0,0,0,0,0,0,0,0,0,1108,0,0,0,0,0,383,0,756,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,41,Sevilla                                           ,1917097,2461,1482866,23263,1506129,2288,1071259,1387,1072646,1060182,1046586,13596,12464,410046,5,442267,6,91519,1,58502,0,0,0,0,0,0,0,0,0,11313,0,0,0,0,0,0,0,0,0,0,0,2966,0,23302,0,0,0,0,0,0,0,1415,0,1077,0,1194,0,0,0,332,0,900,0,0,0,593,0,0,0,0,0,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón                        ,22,Huesca                                            ,228566,418,170324,5389,175713,819,122083,604,122687,120570,117680,2890,2117,58435,2,40721,1,9937,0,5408,0,0,0,0,0,0,0,0,0,1471,0,0,0,0,0,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0,354,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón                        ,44,Teruel                                            ,145277,323,108470,3831,112301,445,78628,301,78929,77229,75535,1694,1700,39993,2,25426,1,6103,0,2656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,466,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0
Aragón                        ,50,Zaragoza                                          ,973252,1522,714352,16144,730496,2164,520037,1418,521455,513893,503942,9951,7562,241074,4,158167,2,58904,1,32968,0,0,0,0,0,0,0,0,0,3858,0,0,0,0,0,0,0,2586,0,0,0,2640,0,0,0,0,0,0,0,0,0,939,0,1055,0,0,0,0,0,370,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Principado de Asturias        ,33,Asturias                                          ,1084341,1613,901115,87930,989045,8981,633723,4906,638629,632436,624044,8392,6193,223906,3,185526,3,83755,1,24721,0,0,0,0,0,0,0,0,0,4033,0,0,0,0,0,0,0,2125,0,92828,1,2532,0,0,0,0,0,0,0,0,0,383,0,1202,0,0,0,0,0,209,0,284,0,0,0,282,0,0,0,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0
