Nombre de Comunidad,Código de Provincia,Nombre de Provincia,Población,Número de mesas,Censo electoral sin CERA,Censo CERA,Total censo electoral,Solicitudes voto CERA aceptadas,Total Votantes CER,Total votantes CERA,Total votantes,Votos válidos,Votos a candidaturas,Votos en blanco,Votos nulos,PARTIDO POPULAR_PP_votos,PARTIDO POPULAR_PP_diputados,PARTIDO SOCIALISTA OBRERO ESPAÑOL_PSOE_votos,PARTIDO SOCIALISTA OBRERO ESPAÑOL_PSOE_diputados,UNIDOS PODEMOS_PODEMOS-IU-EQUO_votos,UNIDOS PODEMOS_PODEMOS-IU-EQUO_diputados,CIUDADANOS-PARTIDO DE LA CIUDADANÍA_C's_votos,CIUDADANOS-PARTIDO DE LA CIUDADANÍA_C's_diputados,EN COMÚ PODEM-GUANYEM EL CANVI_ECP_votos,EN COMÚ PODEM-GUANYEM EL CANVI_ECP_diputados,COMPROMÍS-PODEMOS-EUPV: A LA VALENCIANA_PODEMOS-COMPROMÍS-EUPV_votos,COMPROMÍS-PODEMOS-EUPV: A LA VALENCIANA_PODEMOS-COMPROMÍS-EUPV_diputados,ESQUERRA REPUBLICANA/CATALUNYA SÍ_ERC-CATSÍ_votos,ESQUERRA REPUBLICANA/CATALUNYA SÍ_ERC-CATSÍ_diputados,CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA_CDC_votos,CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA_CDC_diputados,EN MAREA_PODEMOS-EN MAREA-ANOVA-EU_votos,EN MAREA_PODEMOS-EN MAREA-ANOVA-EU_diputados,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO_EAJ-PNV_votos,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO_EAJ-PNV_diputados,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL_PACMA_votos,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL_PACMA_diputados,EUSKAL HERRIA BILDU_EH Bildu_votos,EUSKAL HERRIA BILDU_EH Bildu_diputados,COALICIÓN CANARIA-PARTIDO NACIONALISTA CANARIO_CCa-PNC_votos,COALICIÓN CANARIA-PARTIDO NACIONALISTA CANARIO_CCa-PNC_diputados,RECORTES CERO-GRUPO VERDE_RECORTES CERO-GRUPO VERDE_votos,RECORTES CERO-GRUPO VERDE_RECORTES CERO-GRUPO VERDE_diputados,UNIÓN PROGRESO Y DEMOCRACIA_UPyD_votos,UNIÓN PROGRESO Y DEMOCRACIA_UPyD_diputados,VOX_VOX_votos,VOX_VOX_diputados,BNG-NÓS CANDIDATURA GALEGA_BNG-NÓS_votos,BNG-NÓS CANDIDATURA GALEGA_BNG-NÓS_diputados,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA_PCPE_votos,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA_PCPE_diputados,GEROA BAI_GBAI_votos,GEROA BAI_GBAI_diputados,ESCAÑOS EN BLANCO_EB_votos,ESCAÑOS EN BLANCO_EB_diputados,FALANGE ESPAÑOLA DE LAS JONS_FE de las JONS_votos,FALANGE ESPAÑOLA DE LAS JONS_FE de las JONS_diputados,SOBIRANIA PER A LES ILLES_SI_votos,SOBIRANIA PER A LES ILLES_SI_diputados,SOM VALENCIANS_SOMVAL_votos,SOM VALENCIANS_SOMVAL_diputados,CIUDADANOS DE CENTRO DEMOCRÁTICO_CCD_votos,CIUDADANOS DE CENTRO DEMOCRÁTICO_CCD_diputados,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA_SAIn_votos,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA_SAIn_diputados,PARTIDO HUMANISTA_PH_votos,PARTIDO HUMANISTA_PH_diputados,LOS VERDES-ECOPACIFISTAS_CENTRO MODERADO_votos,LOS VERDES-ECOPACIFISTAS_CENTRO MODERADO_diputados,PARTIDO LIBERTARIO_P-LIB_votos,PARTIDO LIBERTARIO_P-LIB_diputados,CIUDADANOS DE CENTRO DEMOCRÁTICO-CANDIDATURA INDEPENDIENTE_CCD-CI_votos,CIUDADANOS DE CENTRO DEMOCRÁTICO-CANDIDATURA INDEPENDIENTE_CCD-CI_diputados,UNIÓN DEL PUEBLO LEONÉS_UPL_votos,UNIÓN DEL PUEBLO LEONÉS_UPL_diputados,PARTIDO COMUNISTA OBRERO ESPAÑOL_PCOE_votos,PARTIDO COMUNISTA OBRERO ESPAÑOL_PCOE_diputados,PARTIDO SOMOS ANDALUCES POR ANDALUCÍA Y LOS PUEBLOS_AND_votos,PARTIDO SOMOS ANDALUCES POR ANDALUCÍA Y LOS PUEBLOS_AND_diputados,JUNTOS POR CANARIAS_JXC_votos,JUNTOS POR CANARIAS_JXC_diputados,FAMILIA Y VIDA_PFyV_votos,FAMILIA Y VIDA_PFyV_diputados,CIUDADANOS LIBRES UNIDOS_CILUS_votos,CIUDADANOS LIBRES UNIDOS_CILUS_diputados,PLATAFORMA PER CATALUNYA_PxC_votos,PLATAFORMA PER CATALUNYA_PxC_diputados,MOVIMIENTO ARAGONÉS SOCIAL_MAS_votos,MOVIMIENTO ARAGONÉS SOCIAL_MAS_diputados,IZQUIERDA ANTICAPITALISTA REVOLUCIONARIA_IZAR_votos,IZQUIERDA ANTICAPITALISTA REVOLUCIONARIA_IZAR_diputados,UNIDAD DEL PUEBLO_UNIDAD DEL PUEBLO_votos,UNIDAD DEL PUEBLO_UNIDAD DEL PUEBLO_diputados,PARTIDO REGIONALISTA DEL PAÍS LEONÉS_PREPAL_votos,PARTIDO REGIONALISTA DEL PAÍS LEONÉS_PREPAL_diputados,"LIBERTAD NAVARRA, LIBERTATE NAFARRA_Ln_votos","LIBERTAD NAVARRA, LIBERTATE NAFARRA_Ln_diputados",RENOVACIO POLITICA_REPO_votos,RENOVACIO POLITICA_REPO_diputados,INDEPENDIENTES POR ARAGÓN_INDEPENDIENTES-FIA_votos,INDEPENDIENTES POR ARAGÓN_INDEPENDIENTES-FIA_diputados,ENTABAN_ENTABAN_votos,ENTABAN_ENTABAN_diputados,INICIATIVA MERINDADES DE CASTILLA_IMC_votos,INICIATIVA MERINDADES DE CASTILLA_IMC_diputados,PARTIDO UNIONISTA ESTADO DE ESPAÑA_PUEDE_votos,PARTIDO UNIONISTA ESTADO DE ESPAÑA_PUEDE_diputados,LA FALANGE_FE_votos,LA FALANGE_FE_diputados,ALIANZA DE CENTRO DEMOCRÁTICO_ALCD_votos,ALIANZA DE CENTRO DEMOCRÁTICO_ALCD_diputados,LA FUERZA DE LOS MAYORES DE ESPAÑA_FME_votos,LA FUERZA DE LOS MAYORES DE ESPAÑA_FME_diputados,HEGOALDE RIOJA-LIBERTAD NAVARRA_HRTS-Ln_votos,HEGOALDE RIOJA-LIBERTAD NAVARRA_HRTS-Ln_diputados,UNIÓN DE TODOS_UDT_votos,UNIÓN DE TODOS_UDT_diputados
Andalucía                     ,4,Almería                                           ,701211,759,452954,38542,491496,2409,307216,1773,308989,306674,304461,2213,2315,131801,3,84988,2,40578,0,41897,1,0,0,0,0,0,0,0,0,0,0,0,0,2689,0,0,0,0,0,334,0,684,0,435,0,0,0,280,0,0,0,347,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,11,Cádiz                                             ,1240284,1483,967509,26180,993689,2610,620231,2021,622252,615755,608817,6938,6497,198876,3,175498,3,130643,2,88029,1,0,0,0,0,0,0,0,0,0,0,0,0,9719,0,0,0,0,0,1417,0,1750,0,1253,0,0,0,767,0,0,0,0,0,472,0,0,0,0,0,0,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,14,Córdoba                                           ,795611,902,634230,16954,651184,1757,450583,1455,452038,446818,442329,4489,5220,153750,2,139281,2,85058,1,55248,1,0,0,0,0,0,0,0,0,0,0,0,0,4234,0,0,0,0,0,467,0,743,0,708,0,0,0,663,0,0,0,614,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627,0,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,18,Granada                                           ,917297,1092,702290,46289,748579,3747,491484,2687,494171,489540,486116,3424,4631,172721,3,151445,2,86975,1,66000,1,0,0,0,0,0,0,0,0,0,0,0,0,5228,0,0,0,0,0,763,0,1158,0,993,0,0,0,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,21,Huelva                                            ,520017,634,389332,6785,396117,718,248728,541,249269,245819,243293,2526,3450,81959,2,88100,2,40023,1,28685,0,0,0,0,0,0,0,0,0,0,0,0,0,2850,0,0,0,0,0,470,0,464,0,398,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,23,Jaén                                              ,654170,899,520412,11799,532211,1172,374202,880,375082,370762,368217,2545,4320,131234,2,138612,2,53239,1,38884,0,0,0,0,0,0,0,0,0,0,0,0,0,3238,0,0,0,0,0,455,0,589,0,638,0,0,0,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,29,Málaga                                            ,1628973,1633,1116027,47630,1163657,4396,748978,3108,752086,744858,738680,6178,7228,256033,4,201444,3,140829,2,121294,2,0,0,0,0,0,0,0,0,0,0,0,0,11523,0,0,0,0,0,1461,0,1832,0,1770,0,0,0,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,41,Sevilla                                           ,1941480,2522,1501017,30789,1531806,4034,1041748,3103,1044851,1033112,1023530,9582,11739,299884,4,347470,4,214663,3,138086,1,0,0,0,0,0,0,0,0,0,0,0,0,13389,0,0,0,0,0,1950,0,2712,0,2146,0,0,0,1306,0,0,0,0,0,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón                        ,22,Huesca                                            ,222909,393,166658,6888,173546,950,117306,712,118018,116884,115680,1204,1134,42332,1,29915,1,22430,1,17934,0,0,0,0,0,0,0,0,0,0,0,0,0,909,0,0,0,0,0,216,0,239,0,399,0,0,0,349,0,0,0,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón                        ,44,Teruel                                            ,138932,328,104805,4575,109380,452,75604,328,75932,74922,74218,704,1010,30913,2,19724,1,12558,0,9871,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,0,0,0,0,125,0,0,0,0,0,0,0,71,0,0,0,245,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
Aragón                        ,50,Zaragoza                                          ,956006,1419,712826,21238,734064,3182,514663,2481,517144,513135,509011,4124,4009,179211,3,125321,2,104199,1,86434,1,0,0,0,0,0,0,0,0,0,0,0,0,5025,0,0,0,0,0,1137,0,1395,0,1614,0,0,0,564,0,0,0,3032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,0,0,0,0,0,0,0,0,0,0,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Principado de Asturias        ,33,Asturias                                          ,1051229,1542,872130,110707,982837,7926,594729,5734,600463,594699,589325,5374,5764,209632,3,147920,2,141845,2,74961,1,0,0,0,0,0,0,0,0,0,0,0,0,6398,0,0,0,0,0,1086,0,1391,0,1442,0,0,0,1383,0,0,0,2517,0,0,0,0,0,0,0,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0
