Nombre de Comunidad,Código de Provincia,Nombre de Provincia,Población,Número de mesas,Censo electoral sin CERA,Censo CERA,Total censo electoral,Total votantes CER,Total votantes CERA,Total votantes,Votos válidos,Votos a candidaturas,Votos en blanco,Votos nulos,PARTIDO POPULAR_PP_votos,PARTIDO POPULAR_PP_diputados,PARTIDO SOCIALISTA OBRERO ESPAÑOL_PSOE_votos,PARTIDO SOCIALISTA OBRERO ESPAÑOL_PSOE_diputados,VOX_VOX_votos,VOX_VOX_diputados,SUMAR_SUMAR_votos,SUMAR_SUMAR_diputados,ESQUERRA REPUBLICANA DE CATALUNYA_ERC_votos,ESQUERRA REPUBLICANA DE CATALUNYA_ERC_diputados,JUNTS PER CATALUNYA - JUNTS_JxCAT - JUNTS_votos,JUNTS PER CATALUNYA - JUNTS_JxCAT - JUNTS_diputados,EUSKAL HERRIA BILDU_EH Bildu_votos,EUSKAL HERRIA BILDU_EH Bildu_diputados,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO_EAJ-PNV_votos,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO_EAJ-PNV_diputados,BLOQUE NACIONALISTA GALEGO_B.N.G._votos,BLOQUE NACIONALISTA GALEGO_B.N.G._diputados,COALICIÓN CANARIA_CCa_votos,COALICIÓN CANARIA_CCa_diputados,UNION DEL PUEBLO NAVARRO_U.P.N._votos,UNION DEL PUEBLO NAVARRO_U.P.N._diputados,PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE_PACMA_votos,PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE_PACMA_diputados,CANDIDATURA D'UNITAT POPULAR-PER LA RUPTURA_CUP-PR_votos,CANDIDATURA D'UNITAT POPULAR-PER LA RUPTURA_CUP-PR_diputados,FRENTE OBRERO_FO_votos,FRENTE OBRERO_FO_diputados,NUEVA CANARIAS - BLOQUE CANARISTA_NC-bc_votos,NUEVA CANARIAS - BLOQUE CANARISTA_NC-bc_diputados,PARTIT DEMÒCRATA EUROPEU CATALÀ-ESPAI CIU_PDeCAT-E-CiU_votos,PARTIT DEMÒCRATA EUROPEU CATALÀ-ESPAI CIU_PDeCAT-E-CiU_diputados,RECORTES CERO_RECORTES CERO_votos,RECORTES CERO_RECORTES CERO_diputados,POR UN MUNDO MÁS JUSTO_PUM+J_votos,POR UN MUNDO MÁS JUSTO_PUM+J_diputados,UNIÓN DEL PUEBLO LEONÉS_U.P.L._votos,UNIÓN DEL PUEBLO LEONÉS_U.P.L._diputados,ARAGÓN EXISTE - COALICIÓN EXISTE_EXISTE_votos,ARAGÓN EXISTE - COALICIÓN EXISTE_EXISTE_diputados,PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA_PCTE_votos,PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA_PCTE_diputados,GEROA BAI_GBAI_votos,GEROA BAI_GBAI_diputados,SORIA ¡YA!_SY_votos,SORIA ¡YA!_SY_diputados,ADELANTE ANDALUCÍA_ADELANTE ANDALUCÍA_votos,ADELANTE ANDALUCÍA_ADELANTE ANDALUCÍA_diputados,ESCAÑOS EN BLANCO PARA DEJAR ESCAÑOS VACÍOS_ESCAÑOS EN BLANCO_votos,ESCAÑOS EN BLANCO PARA DEJAR ESCAÑOS VACÍOS_ESCAÑOS EN BLANCO_diputados,JAÉN MERECE MÁS_JM+_votos,JAÉN MERECE MÁS_JM+_diputados,POR ÁVILA_XAV_votos,POR ÁVILA_XAV_diputados,BLOQUE EXTREMEÑO_BQEX_votos,BLOQUE EXTREMEÑO_BQEX_diputados,CAMINANDO JUNTOS_CJ_votos,CAMINANDO JUNTOS_CJ_diputados,FALANGE ESPAÑOLA DE LAS J.O.N.S._FE de las JONS_votos,FALANGE ESPAÑOLA DE LAS J.O.N.S._FE de las JONS_diputados,PARTIDO ARAGONÉS_PAR_votos,PARTIDO ARAGONÉS_PAR_diputados,ESPAÑA VACIADA_ESPAÑA VACIADA_votos,ESPAÑA VACIADA_ESPAÑA VACIADA_diputados,PARTIDO HUMANISTA_PH_votos,PARTIDO HUMANISTA_PH_diputados,ASTURIAS EXISTE-ESPAÑA VACIADA_ASTURIAS EXISTE EV_votos,ASTURIAS EXISTE-ESPAÑA VACIADA_ASTURIAS EXISTE EV_diputados,POR HUELVA_XH_votos,POR HUELVA_XH_diputados,VAMOS PALENCIA_VP_votos,VAMOS PALENCIA_VP_diputados,ZAMORA SÍ_Zsi_votos,ZAMORA SÍ_Zsi_diputados,VÍA BURGALESA_VB_votos,VÍA BURGALESA_VB_diputados,POR MI REGIÓN_POR MI REGIÓN_votos,POR MI REGIÓN_POR MI REGIÓN_diputados,AHORA CANARIAS-PARTIDO COMUNISTA DEL PUEBLO CANARIO_AHORA CANARIAS-PCPC_votos,AHORA CANARIAS-PARTIDO COMUNISTA DEL PUEBLO CANARIO_AHORA CANARIAS-PCPC_diputados,PARTIDO AUTÓNOMOS_PARTIDO AUTÓNOMOS_votos,PARTIDO AUTÓNOMOS_PARTIDO AUTÓNOMOS_diputados,ESTAT VALENCIÀ DEL BENESTAR_EVB_votos,ESTAT VALENCIÀ DEL BENESTAR_EVB_diputados,COALICIÓN POR MELILLA_CpM_votos,COALICIÓN POR MELILLA_CpM_diputados,JUNTOS POR GRANADA_JxG_votos,JUNTOS POR GRANADA_JxG_diputados,ESPAÑA VACIADA-PARTIDO CASTELLANO-TIERRA COMUNERA_EV-PCAS-TC_votos,ESPAÑA VACIADA-PARTIDO CASTELLANO-TIERRA COMUNERA_EV-PCAS-TC_diputados,PARTIDO REGIONALISTA DEL PAÍS LEONÉS_PREPAL_votos,PARTIDO REGIONALISTA DEL PAÍS LEONÉS_PREPAL_diputados,SOMOS CÁCERES_Somos Cc_votos,SOMOS CÁCERES_Somos Cc_diputados,ALMERIENSES - REGIONALISTAS PRO ALMERÍA_ALM_votos,ALMERIENSES - REGIONALISTAS PRO ALMERÍA_ALM_diputados,FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓN_F.I.A._votos,FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓN_F.I.A._diputados,TERCERA EDAD EN ACCIÓN_3e_votos,TERCERA EDAD EN ACCIÓN_3e_diputados,UNIDAD CASTELLANA_Ud.Ca_votos,UNIDAD CASTELLANA_Ud.Ca_diputados,GRUPO INDEPENDIENTE PALENCIA TIERRA VIVA_GITV_votos,GRUPO INDEPENDIENTE PALENCIA TIERRA VIVA_GITV_diputados,PARTIDO UNIONISTA ESTADO DE ESPAÑA_PUEDE_votos,PARTIDO UNIONISTA ESTADO DE ESPAÑA_PUEDE_diputados,ENTRE VEÏNS CATALUNYA_EVC_votos,ENTRE VEÏNS CATALUNYA_EVC_diputados,LIBRES_LB_votos,LIBRES_LB_diputados,UNIDOS POR LA SOLIDARIDAD INTERNACIONAL_UNIDOS SI_votos,UNIDOS POR LA SOLIDARIDAD INTERNACIONAL_UNIDOS SI_diputados,REFERÉNDUM SISTEMA DINERO_+RDS+_votos,REFERÉNDUM SISTEMA DINERO_+RDS+_diputados,COALICIÓN DE CENTRO DEMOCRÁTICO_CCD_votos,COALICIÓN DE CENTRO DEMOCRÁTICO_CCD_diputados,FUERZA CÍVICA_FUERZA CÍVICA_votos,FUERZA CÍVICA_FUERZA CÍVICA_diputados
Andalucía,4,Almería,740534,837,471427,44687,516114,321424,2981,324405,321242,318778,2464,3163,131524,3,93282,2,68364,1,21485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962,0,0,0,500,0,0,0,0,0,206,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0
Andalucía,11,Cádiz,1246781,1528,986857,31101,1017958,641933,2868,644801,637098,629995,7103,7703,221703,4,211200,3,96720,1,82115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5937,0,0,0,1225,0,0,0,0,0,486,0,673,0,0,0,0,0,0,0,0,0,0,0,9191,0,0,0,0,0,0,0,0,0,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía,14,Córdoba,772464,948,626123,19165,645288,453432,2132,455564,448602,444254,4348,6962,169976,2,144080,2,62526,1,61594,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2699,0,0,0,701,0,0,0,0,0,392,0,598,0,0,0,0,0,746,0,0,0,0,0,0,0,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía,18,Granada,921987,1121,712178,53300,765478,504830,4656,509486,502845,498788,4057,6641,185996,3,165862,2,81080,1,58567,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3143,0,0,0,658,0,0,0,0,0,343,0,765,0,0,0,0,0,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía,21,Huelva,528763,651,394310,8194,402504,260172,689,260861,256804,254394,2410,4057,93565,2,92326,2,37572,1,26752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1663,0,0,0,0,0,0,0,0,0,217,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía,23,Jaén,623761,873,504825,13546,518371,372097,1560,373657,368731,366234,2497,4926,137617,2,133819,2,54400,1,29461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671,0,0,0,410,0,0,0,0,0,203,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía,29,Málaga,1717504,1734,1178993,60853,1239846,792942,5615,798557,788338,780829,7509,10219,302000,5,239172,3,129758,2,96652,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8487,0,0,0,1662,0,0,0,0,0,888,0,1519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía,41,Sevilla,1948393,2588,1525548,38534,1564082,1070436,4697,1075133,1059358,1048407,10951,15775,353663,4,387760,5,141087,1,148745,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9288,0,0,0,1950,0,0,0,0,0,1034,0,1765,0,0,0,0,0,1522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,912,0,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón,22,Huesca,225456,403,165249,8142,173391,120190,958,121148,119895,118678,1217,1253,45783,2,40307,1,15155,0,13774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,0,0,0,258,0,0,0,0,0,64,0,114,0,0,0,1312,0,137,0,0,0,0,0,0,0,475,0,0,0,0,0,0,0,0,0,0,0,717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón,44,Teruel,134421,328,101249,5103,106352,76118,443,76561,75913,75503,410,648,26586,2,22226,1,9932,0,4126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,94,0,0,0,0,0,49,0,36,0,0,0,11348,0,60,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón,50,Zaragoza,966438,1467,713505,26555,740060,519339,4071,523410,518705,514012,4693,4705,186776,3,159858,2,79376,1,69925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2428,0,0,0,1026,0,0,0,0,0,306,0,419,0,0,0,7780,0,561,0,0,0,0,0,0,0,2146,0,0,0,0,0,0,0,0,0,272,0,2745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Principado de Asturias,33,Asturias,1004686,1528,835593,123430,959023,594417,8766,603183,597032,590953,6079,6151,212816,3,205049,2,74571,1,88630,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3167,0,0,0,1176,0,0,0,0,0,590,0,773,0,0,0,0,0,1598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0
